"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","",NA,"262","","2016-08-15 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"836","","2016-08-15 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"74","","2016-08-15 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"30","","2016-08-08 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"171","","2016-08-08 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"10","","2016-08-08 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"20","","2016-08-02 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"132","","2016-08-02 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"10","","2016-08-02 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"538","","2016-08-01 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"959","","2016-08-01 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"680","","2016-08-01 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"31","","2016-07-25 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"75","","2016-07-25 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"52","","2016-07-25 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"30","","2016-07-18 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"120","","2016-07-18 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"<10","","2016-07-18 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"31","","2016-07-11 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"134","","2016-07-11 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"30","","2016-07-11 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"122","","2016-07-05 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"173","","2016-07-05 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"<10","","2016-07-05 00:00:00.0","BAY#300.1_SL"
"COLI_E","",NA,"10","","2016-06-27 00:00:00.0","BAY#300.1_SL"
"COLI_TOTAL","",NA,"52","","2016-06-27 00:00:00.0","BAY#300.1_SL"
"ENTERO","",NA,"20","","2016-06-27 00:00:00.0","BAY#300.1_SL"
